winner_agreement,tolerance_jaccard,worst_regret_gap,certificate_sup_norm_gap,probes_adaptive,probes_full,time_adaptive,time_full,m,geometry,replication,theta
1,1.0,0.0,0.0,4,4,0.00035399995977059007,0.00032599997939541936,2,linear,5,0.7
1,1.0,0.0,0.0,4,4,0.00035037496127188206,0.0003240829682908952,2,linear,5,0.9
1,1.0,0.0,0.0,4,4,0.00035845901584252715,0.0003260420053265989,2,linear,6,0.3
1,1.0,0.0,0.0,4,4,0.00035083299735561013,0.0003244589897803962,2,linear,6,0.5
1,1.0,0.0,0.0,4,4,0.0003444169997237623,0.0003220419748686254,2,linear,6,0.6
1,1.0,0.0,0.0,4,4,0.0003725839778780937,0.00033529201755300164,2,linear,6,0.7
1,1.0,0.0,0.0,4,4,0.00035200000274926424,0.0003227499546483159,2,linear,6,0.9
1,1.0,0.0,0.0,4,4,0.0003545839572325349,0.0003250419977121055,2,linear,7,0.3
1,1.0,0.0,0.0,4,4,0.00034895900171250105,0.00032245798502117395,2,linear,7,0.5
1,1.0,0.0,0.0,4,4,0.00034312496427446604,0.00032233301317319274,2,linear,7,0.6
1,1.0,0.0,0.0,4,4,0.0003487089998088777,0.00032462499802932143,2,linear,7,0.7
1,1.0,0.0,0.0,4,4,0.00036641600308939815,0.00033012498170137405,2,linear,7,0.9
1,1.0,0.0,0.0,4,4,0.0003530000103637576,0.0003269579610787332,2,linear,8,0.3
1,1.0,0.0,0.0,4,4,0.000360167003236711,0.0003250419977121055,2,linear,8,0.5
1,1.0,0.0,0.0,4,4,0.00035379198379814625,0.00032366602681577206,2,linear,8,0.6
1,1.0,0.0,0.0,4,4,0.00034745800076052547,0.00032070797169581056,2,linear,8,0.7
1,1.0,0.0,0.0,4,4,0.0003489579539746046,0.0003244580002501607,2,linear,8,0.9
1,1.0,0.0,0.0,4,4,0.00035145797301083803,0.0003233749885112047,2,linear,9,0.3
1,1.0,0.0,0.0,4,4,0.0003483749460428953,0.00032112502958625555,2,linear,9,0.5
1,1.0,0.0,0.0,4,4,0.0003446249756962061,0.0003232499584555626,2,linear,9,0.6
1,1.0,0.0,0.0,4,4,0.0003477080026641488,0.00032366602681577206,2,linear,9,0.7
1,1.0,0.0,0.0,4,4,0.0003444169997237623,0.0003210409777238965,2,linear,9,0.9
1,1.0,0.0,0.0,4,4,0.0003552919952198863,0.00032358302269130945,2,linear,10,0.3
1,1.0,0.0,0.0,4,4,0.0003462919848971069,0.00031995901372283697,2,linear,10,0.5
1,1.0,0.0,0.0,4,4,0.0003474999684840441,0.00032308301888406277,2,linear,10,0.6
1,1.0,0.0,0.0,4,4,0.0004363329499028623,0.0003515420248731971,2,linear,10,0.7
1,1.0,0.0,0.0,4,4,0.0003698329674080014,0.0003291249740868807,2,linear,10,0.9
1,1.0,0.0,0.0,4,4,0.0003563750069588423,0.00032633397495374084,2,linear,11,0.3
1,1.0,0.0,0.0,4,4,0.00034950004192069173,0.00032466696575284004,2,linear,11,0.5
1,1.0,0.0,0.0,4,4,0.0003447499475441873,0.00032229197677224874,2,linear,11,0.6
1,1.0,0.0,0.0,4,4,0.00035095802741125226,0.00032412505242973566,2,linear,11,0.7
1,1.0,0.0,0.0,4,4,0.0003558750031515956,0.0003250000299885869,2,linear,11,0.9
1,1.0,0.0,0.0,4,4,0.0003737499937415123,0.00032541697146371007,2,linear,12,0.3
1,1.0,0.0,0.0,4,4,0.0003488750080578029,0.00032183300936594605,2,linear,12,0.5
1,1.0,0.0,0.0,4,4,0.0003423750167712569,0.0003202499938197434,2,linear,12,0.6
1,1.0,0.0,0.0,4,4,0.0003517920267768204,0.0003219170030206442,2,linear,12,0.7
1,1.0,0.0,0.0,4,4,0.00035099999513477087,0.000321459025144577,2,linear,12,0.9
1,1.0,0.0,0.0,4,4,0.00035420898348093033,0.0003231670125387609,2,linear,13,0.3
1,1.0,0.0,0.0,4,4,0.0003517919685691595,0.0003215000033378601,2,linear,13,0.5
1,1.0,0.0,0.0,4,4,0.0003505829954519868,0.00032054202165454626,2,linear,13,0.6
1,1.0,0.0,0.0,4,4,0.00034495798172429204,0.0003191659925505519,2,linear,13,0.7
1,1.0,0.0,0.0,4,4,0.0003397919936105609,0.00031987502006813884,2,linear,13,0.9
1,1.0,0.0,0.0,4,4,0.0004101250087842345,0.0003477499703876674,2,linear,14,0.3
1,1.0,0.0,0.0,4,4,0.0003683330141939223,0.00032891699811443686,2,linear,14,0.5
1,1.0,0.0,0.0,4,4,0.00037054199492558837,0.000327959016431123,2,linear,14,0.6
1,1.0,0.0,0.0,4,4,0.00035312504041939974,0.00032474996987730265,2,linear,14,0.7
1,1.0,0.0,0.0,4,4,0.0003488750080578029,0.000323207990732044,2,linear,14,0.9
1,1.0,0.0,0.0,4,4,0.0003737499937415123,0.0003287909785285592,2,linear,15,0.3
1,1.0,0.0,0.0,4,4,0.00034983298974111676,0.000323625048622489,2,linear,15,0.5
1,1.0,0.0,0.0,4,4,0.000350042013451457,0.00032279198057949543,2,linear,15,0.6
1,1.0,0.0,0.0,4,4,0.0003672909806482494,0.0003314169589430094,2,linear,15,0.7
1,1.0,0.0,0.0,4,4,0.00035099999513477087,0.0003218750352971256,2,linear,15,0.9
1,1.0,0.0,0.0,4,4,0.00035679200664162636,0.00032354204449802637,2,linear,16,0.3
1,1.0,0.0,0.0,4,4,0.00035158300306648016,0.0003227500128559768,2,linear,16,0.5
1,1.0,0.0,0.0,4,4,0.0003452910459600389,0.00032104202546179295,2,linear,16,0.6
