config,geometry,replication,method,grouped_loss,tail_loss
"R1 (5 groups, m=10)",linear,18,ASF,0.2594380066144885,0.340770012580594
"R1 (5 groups, m=10)",linear,19,ASF,0.1987950957071184,0.45008719216491344
"R1 (5 groups, m=10)",linear,20,ASF,0.2890038643151088,0.2710219905493221
"R1 (5 groups, m=10)",linear,21,ASF,0.19537319294048014,0.48444515797879667
"R1 (5 groups, m=10)",linear,22,ASF,0.21251868725930292,0.38667609825198734
"R1 (5 groups, m=10)",linear,23,ASF,0.19855585275887946,0.3928873764884384
"R1 (5 groups, m=10)",linear,24,ASF,0.22809647565330474,0.38622979059505363
"R1 (5 groups, m=10)",linear,25,ASF,0.21568011258690847,0.40444679772454584
"R1 (5 groups, m=10)",linear,26,ASF,0.1998816395977929,0.3705013870906039
"R1 (5 groups, m=10)",linear,27,ASF,0.22814000563414583,0.3248397839808183
"R1 (5 groups, m=10)",linear,28,ASF,0.3023320465244857,0.31623494271765273
"R1 (5 groups, m=10)",linear,29,ASF,0.24405700284362197,0.34398739899211833
"R1 (5 groups, m=10)",linear,0,SMAA,0.38636074632514,0.49251227325951324
"R1 (5 groups, m=10)",linear,1,SMAA,0.44637856804413484,0.6723408932512291
"R1 (5 groups, m=10)",linear,2,SMAA,0.33467625690519925,0.35193283850077833
"R1 (5 groups, m=10)",linear,3,SMAA,0.37335453360460663,0.2529037050096203
"R1 (5 groups, m=10)",linear,4,SMAA,0.2877583614088892,0.3050822084428168
"R1 (5 groups, m=10)",linear,5,SMAA,0.5088947454401832,0.8042209069399904
"R1 (5 groups, m=10)",linear,6,SMAA,0.2973558523623408,0.3950318356654628
"R1 (5 groups, m=10)",linear,7,SMAA,0.436728951911502,0.9011735727012071
"R1 (5 groups, m=10)",linear,8,SMAA,0.5540208901324714,0.7707326422785573
"R1 (5 groups, m=10)",linear,9,SMAA,0.4419218569090335,0.5448464578190589
"R1 (5 groups, m=10)",linear,10,SMAA,0.40568658032509103,0.5854725611297554
"R1 (5 groups, m=10)",linear,11,SMAA,0.3950287348573598,0.5196930293286465
"R1 (5 groups, m=10)",linear,12,SMAA,0.39935506244114927,0.7304388653498949
"R1 (5 groups, m=10)",linear,13,SMAA,0.42168980504086173,0.7192461835344192
"R1 (5 groups, m=10)",linear,14,SMAA,0.38473330267115374,0.41508188631617726
"R1 (5 groups, m=10)",linear,15,SMAA,0.3827820714622086,0.531531430611288
"R1 (5 groups, m=10)",linear,16,SMAA,0.5227465406972329,0.5630623892094502
"R1 (5 groups, m=10)",linear,17,SMAA,0.3746087700819369,0.47013501542845354
"R1 (5 groups, m=10)",linear,18,SMAA,0.3582567438236721,0.4621845282660986
"R1 (5 groups, m=10)",linear,19,SMAA,0.38569658526190476,0.5960366278249445
"R1 (5 groups, m=10)",linear,20,SMAA,0.5403252465880413,0.9306875789687836
"R1 (5 groups, m=10)",linear,21,SMAA,0.5383208391861999,0.8627096829577201
"R1 (5 groups, m=10)",linear,22,SMAA,0.5043608625549151,0.840742585761058
"R1 (5 groups, m=10)",linear,23,SMAA,0.5273018645862503,0.6552379881637116
"R1 (5 groups, m=10)",linear,24,SMAA,0.47723347693850277,0.4701787938486962
"R1 (5 groups, m=10)",linear,25,SMAA,0.495914227237255,0.8950092788613997
"R1 (5 groups, m=10)",linear,26,SMAA,0.5156334341317184,0.998859652338987
"R1 (5 groups, m=10)",linear,27,SMAA,0.49430107352341524,0.9046478864820027
"R1 (5 groups, m=10)",linear,28,SMAA,0.4524217980216086,0.8943266676966254
"R1 (5 groups, m=10)",linear,29,SMAA,0.5216168065940444,0.813637109136711
"R1 (5 groups, m=10)",linear,0,MMR,0.2656508806140589,0.39223999348444827
"R1 (5 groups, m=10)",linear,1,MMR,0.2899579158858297,0.3293233367254675
"R1 (5 groups, m=10)",linear,2,MMR,0.33467625690519925,0.35193283850077833
"R1 (5 groups, m=10)",linear,3,MMR,0.37335453360460663,0.2529037050096203
"R1 (5 groups, m=10)",linear,4,MMR,0.2792153414852112,0.38864480970091697
"R1 (5 groups, m=10)",linear,5,MMR,0.22265830679121904,0.37742309684296
"R1 (5 groups, m=10)",linear,6,MMR,0.31035180727976347,0.2899815411070202
"R1 (5 groups, m=10)",linear,7,MMR,0.28535115241072156,0.4748594262763194
"R1 (5 groups, m=10)",linear,8,MMR,0.22047057295118566,0.4224001641869426
"R1 (5 groups, m=10)",linear,9,MMR,0.3010691014012285,0.38941479897245
"R1 (5 groups, m=10)",linear,10,MMR,0.21914495295511946,0.3202072722476687
"R1 (5 groups, m=10)",linear,11,MMR,0.3306728666050796,0.39052277047783873
"R1 (5 groups, m=10)",linear,12,MMR,0.2843018396188718,0.3732033277809598
"R1 (5 groups, m=10)",linear,13,MMR,0.25114365054387805,0.438581757423294
"R1 (5 groups, m=10)",linear,14,MMR,0.21736686163899052,0.2777374254740066
"R1 (5 groups, m=10)",linear,15,MMR,0.32247592424801047,0.43726941195242774
"R1 (5 groups, m=10)",linear,16,MMR,0.22879399297047096,0.3276022371311332
"R1 (5 groups, m=10)",linear,17,MMR,0.38509758180331116,0.3627657922005795
"R1 (5 groups, m=10)",linear,18,MMR,0.27588825865223726,0.3557442981268895
"R1 (5 groups, m=10)",linear,19,MMR,0.23226865209416744,0.318090194455554
"R1 (5 groups, m=10)",linear,20,MMR,0.2890038643151088,0.2710219905493221
"R1 (5 groups, m=10)",linear,21,MMR,0.29133986332156175,0.3885117184735637
"R1 (5 groups, m=10)",linear,22,MMR,0.25810497255761217,0.40184302321137294
"R1 (5 groups, m=10)",linear,23,MMR,0.2902724167273772,0.35477545077649986
"R1 (5 groups, m=10)",linear,24,MMR,0.24170693619429037,0.39292061658881844
"R1 (5 groups, m=10)",linear,25,MMR,0.1811151459009829,0.36595698038969343
"R1 (5 groups, m=10)",linear,26,MMR,0.2191473507580369,0.42415031290769795
"R1 (5 groups, m=10)",linear,27,MMR,0.31305128810234467,0.35940818685164033
"R1 (5 groups, m=10)",linear,28,MMR,0.3023320465244857,0.31623494271765273
"R1 (5 groups, m=10)",linear,29,MMR,0.24405700284362197,0.34398739899211833
"R1 (5 groups, m=10)",linear,0,LexUR,0.25389860843724105,0.35064711494616013
"R1 (5 groups, m=10)",linear,1,LexUR,0.2899579158858297,0.3293233367254675
"R1 (5 groups, m=10)",linear,2,LexUR,0.30073764423422505,0.38789142796926734
"R1 (5 groups, m=10)",linear,3,LexUR,0.2189054667944789,0.3049076158349845
"R1 (5 groups, m=10)",linear,4,LexUR,0.2792153414852112,0.38864480970091697
"R1 (5 groups, m=10)",linear,5,LexUR,0.22265830679121904,0.37742309684296
"R1 (5 groups, m=10)",linear,6,LexUR,0.23483853773043742,0.40063745082034335
"R1 (5 groups, m=10)",linear,7,LexUR,0.21332999150871548,0.3396626492902467
"R1 (5 groups, m=10)",linear,8,LexUR,0.2474185376475441,0.3800930330636621
"R1 (5 groups, m=10)",linear,9,LexUR,0.19866115952395982,0.3952061979140123
"R1 (5 groups, m=10)",linear,10,LexUR,0.21914495295511946,0.3202072722476687
"R1 (5 groups, m=10)",linear,11,LexUR,0.2546822509479615,0.42375884747583525
"R1 (5 groups, m=10)",linear,12,LexUR,0.22757280546929612,0.4226833358937132
"R1 (5 groups, m=10)",linear,13,LexUR,0.22661771694950483,0.43948968408650585
"R1 (5 groups, m=10)",linear,14,LexUR,0.21736686163899052,0.2777374254740066
"R1 (5 groups, m=10)",linear,15,LexUR,0.22015326038880567,0.351360098399762
"R1 (5 groups, m=10)",linear,16,LexUR,0.21781342330664635,0.4061153515450015
"R1 (5 groups, m=10)",linear,17,LexUR,0.28625699121234366,0.431531359117497
"R1 (5 groups, m=10)",linear,18,LexUR,0.2594380066144885,0.340770012580594
"R1 (5 groups, m=10)",linear,19,LexUR,0.23226865209416744,0.318090194455554
"R1 (5 groups, m=10)",linear,20,LexUR,0.2890038643151088,0.2710219905493221
"R1 (5 groups, m=10)",linear,21,LexUR,0.28333538667776775,0.43071364677130897
"R1 (5 groups, m=10)",linear,22,LexUR,0.21251868725930292,0.38667609825198734
"R1 (5 groups, m=10)",linear,23,LexUR,0.19855585275887946,0.3928873764884384
"R1 (5 groups, m=10)",linear,24,LexUR,0.22809647565330474,0.38622979059505363
"R1 (5 groups, m=10)",linear,25,LexUR,0.21568011258690847,0.40444679772454584
"R1 (5 groups, m=10)",linear,26,LexUR,0.1998816395977929,0.3705013870906039
"R1 (5 groups, m=10)",linear,27,LexUR,0.22814000563414583,0.3248397839808183
"R1 (5 groups, m=10)",linear,28,LexUR,0.3023320465244857,0.31623494271765273
"R1 (5 groups, m=10)",linear,29,LexUR,0.24405700284362197,0.34398739899211833
"R1 (5 groups, m=10)",concave,0,TOPSIS,0.47894872355160834,0.6764094392381561
"R1 (5 groups, m=10)",concave,1,TOPSIS,0.472843517496567,0.7517236872204067
"R1 (5 groups, m=10)",concave,2,TOPSIS,0.47198635247196336,0.6790357164021541
"R1 (5 groups, m=10)",concave,3,TOPSIS,0.441055202855234,0.722609399570839
"R1 (5 groups, m=10)",concave,4,TOPSIS,0.5564572843112906,0.6511076743552817
"R1 (5 groups, m=10)",concave,5,TOPSIS,0.4927809812379848,0.7408650080323633
"R1 (5 groups, m=10)",concave,6,TOPSIS,0.53077305885473,0.7558370744112368
"R1 (5 groups, m=10)",concave,7,TOPSIS,0.5378891066239726,0.6326326249627886
"R1 (5 groups, m=10)",concave,8,TOPSIS,0.49109625818505553,0.6742046900051428
"R1 (5 groups, m=10)",concave,9,TOPSIS,0.5479449548398546,0.6405414513722378
"R1 (5 groups, m=10)",concave,10,TOPSIS,0.580044616060757,0.711941550144984
"R1 (5 groups, m=10)",concave,11,TOPSIS,0.49214056919658494,0.6426311619115891
"R1 (5 groups, m=10)",concave,12,TOPSIS,0.431112832202095,0.8130136017663315
"R1 (5 groups, m=10)",concave,13,TOPSIS,0.4886805597361874,0.7415956775877255
"R1 (5 groups, m=10)",concave,14,TOPSIS,0.48491506187606054,0.7360898535073779
"R1 (5 groups, m=10)",concave,15,TOPSIS,0.5570743102357102,0.605560699072994
"R1 (5 groups, m=10)",concave,16,TOPSIS,0.5219576129031754,0.704640666985877
"R1 (5 groups, m=10)",concave,17,TOPSIS,0.488023266994922,0.6495107192997859
"R1 (5 groups, m=10)",concave,18,TOPSIS,0.5236103045916262,0.615966962087524
"R1 (5 groups, m=10)",concave,19,TOPSIS,0.46355327006287467,0.6372647457674243
"R1 (5 groups, m=10)",concave,20,TOPSIS,0.5093519772090987,0.9628123012349508
"R1 (5 groups, m=10)",concave,21,TOPSIS,0.4833341090354049,0.5591675420228367
"R1 (5 groups, m=10)",concave,22,TOPSIS,0.549783314388427,0.6721099647974478
"R1 (5 groups, m=10)",concave,23,TOPSIS,0.47423463140319894,0.6166445799992623
"R1 (5 groups, m=10)",concave,24,TOPSIS,0.5571770187379012,0.7816788555574931
"R1 (5 groups, m=10)",concave,25,TOPSIS,0.49196769429722426,0.5217100656557675
"R1 (5 groups, m=10)",concave,26,TOPSIS,0.45930769685359324,0.5764895668818435
"R1 (5 groups, m=10)",concave,27,TOPSIS,0.43329980673110985,0.6806916008570687
"R1 (5 groups, m=10)",concave,28,TOPSIS,0.43386727348644416,0.7178999226297429
"R1 (5 groups, m=10)",concave,29,TOPSIS,0.4537615395024006,0.8506786477443206
"R1 (5 groups, m=10)",concave,0,CP,0.47894872355160834,0.6764094392381561
"R1 (5 groups, m=10)",concave,1,CP,0.472843517496567,0.7517236872204067
"R1 (5 groups, m=10)",concave,2,CP,0.47198635247196336,0.6790357164021541
"R1 (5 groups, m=10)",concave,3,CP,0.441055202855234,0.722609399570839
"R1 (5 groups, m=10)",concave,4,CP,0.5564572843112906,0.6511076743552817
"R1 (5 groups, m=10)",concave,5,CP,0.4927809812379848,0.7408650080323633
"R1 (5 groups, m=10)",concave,6,CP,0.4913334929056901,0.7756435162127382
"R1 (5 groups, m=10)",concave,7,CP,0.5198507190583394,0.4991072267389029
"R1 (5 groups, m=10)",concave,8,CP,0.49109625818505553,0.6742046900051428
"R1 (5 groups, m=10)",concave,9,CP,0.5479449548398546,0.6405414513722378
"R1 (5 groups, m=10)",concave,10,CP,0.580044616060757,0.711941550144984
"R1 (5 groups, m=10)",concave,11,CP,0.49214056919658494,0.6426311619115891
"R1 (5 groups, m=10)",concave,12,CP,0.4828603793718005,0.71513318915155
